pc1,pc2,cluster,cluster_label
1.4370227250576286,0.3099326389861053,1,connected but engaged
1.7581782014364333,-1.4830008283286729,1,connected but engaged
-1.79225819860076,-0.7960019312144366,0,Digitally excluded
1.5122615383993947,-0.37967574112971564,1,connected but engaged
1.0053965210475855,0.43908307529587,1,connected but engaged
0.4822282985835817,0.5338057890322787,1,connected but engaged
0.6252863872220947,1.5902341205220596,1,connected but engaged
-0.38012155572493606,1.1056159218666997,1,connected but engaged
0.3825056625965732,-0.15863118000858695,1,connected but engaged
-2.3922777294944355,-0.18516579401838154,0,Digitally excluded
-0.3048781130485835,0.4480958760944602,1,connected but engaged
2.222333367608278,-0.10295398309435434,1,connected but engaged
-2.105381067423259,1.7852379015095863,0,Digitally excluded
5.676939608733336,-0.3259768366097798,2,advanced adopters
-2.5688478755833586,-0.44769900292615816,0,Digitally excluded
0.40409556512617395,-0.5861495741894254,1,connected but engaged
1.1607669581585618,1.9429929439058995,1,connected but engaged
2.347952443605128,-0.30388735595254496,2,advanced adopters
-1.2795160303520838,0.9852653349601509,0,Digitally excluded
-2.2742612118215497,1.497102428519773,0,Digitally excluded
5.213288607374137,-1.2032817484772003,2,advanced adopters
-1.1328405648483524,-2.1521434676404088,0,Digitally excluded
0.11166033989354576,1.6761174902269662,1,connected but engaged
-1.1022173770032178,-0.6526749847737917,0,Digitally excluded
1.3099134800475516,1.536486548809363,1,connected but engaged
-1.5479284084237797,-0.847833371229973,0,Digitally excluded
-1.4061466107051577,-0.14634961241278965,0,Digitally excluded
0.2842968322767465,1.9803528327708257,1,connected but engaged
2.572967025612693,-2.4225931842144943,1,connected but engaged
-2.283824269849474,-1.0892816600632456,0,Digitally excluded
-1.5906120193706714,0.623752424433832,0,Digitally excluded
1.6379922527775912,-0.8565181097928201,1,connected but engaged
2.0806693411485604,-2.763045478908522,2,advanced adopters
1.2578749764357133,-0.4793479065955164,1,connected but engaged
2.966442916260952,0.7072231841846578,2,advanced adopters
-1.270164264811958,-2.8059564451856804,0,Digitally excluded
0.4070126416411487,0.2465099798444749,1,connected but engaged
1.2758228099413567,-3.2383199071977047,1,connected but engaged
-3.2917260168822553,0.45103595997637974,0,Digitally excluded
-2.410858161009738,0.3055950734290061,0,Digitally excluded
-0.026245498697472766,1.7644414764160476,1,connected but engaged
0.3277816274042356,-0.07405538019177144,1,connected but engaged
-2.815157306889723,0.3529228509030017,0,Digitally excluded
5.750728812293544,-0.6565951163317497,2,advanced adopters
2.07765106434394,-0.1973621806933402,1,connected but engaged
1.4806843851987492,-2.4958405888587576,1,connected but engaged
-0.48791416681657424,2.590445848641409,1,connected but engaged
-3.207477879289198,1.5036489695585231,0,Digitally excluded
2.352892496562992,-0.6540071995540996,1,connected but engaged
-2.7508270878391166,1.032957635857143,0,Digitally excluded
3.806721970887278,-0.4844772424545591,2,advanced adopters
-0.42555363893449516,-0.765637053734831,0,Digitally excluded
-0.9120093261269617,-1.1876640769889,0,Digitally excluded
-3.0929683237683125,1.254984583283821,0,Digitally excluded
